bug_id,summary,component,reporter,status,last_triager_comment,category,reason,confidence,reviewed_at,model,bugzilla_url
18495,Alternative algorithm for `which()`,Language,davis,TRIAGED,2026-06-26 23:50:28 +0000,Major patches,"The report proposes a substantive algorithmic and memory management change to the core function which(), accompanied by patches and performance benchmarks.",high,2026-08-31 16:35:01 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=18495
18258,'trace' only half-works for generated functions in packages,Language,ofekshilon,TRIAGED,2025-09-02 10:05:21 +0000,Minor patches,The report includes a detailed patch and regression tests addressing inconsistent behavior when tracing generated functions in packages.,high,2026-08-31 16:35:00 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=18258
16135,"error in: convolve( 1:5, 1, type='filter')",Analyses,schwidom,TRIAGED,2026-02-20 23:26:55 +0000,Minor patches,The report provides a localized fix and updated documentation to resolve incorrect indexing behavior in stats::convolve for filter types.,high,2026-08-31 16:34:56 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=16135
19074,"parallel::makeCluster(<cluster>, type = ""PSOCK"") does not give an error",Misc,henrikb,TRIAGED,2026-05-19 19:10:07 +0000,Minor patches,"The report includes clear patches (Option A and Option B) to address the lack of input validation in makePSOCKcluster, preventing unintended cluster creation.",high,2026-08-31 16:35:03 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=19074
18511,Error on dput() / browser() / debug() with S7 objects,Language,kalinowskit,TRIAGED,2026-04-05 00:34:12 +0000,Recommended closures,"The discussion and recent updates confirm that the requested change has already been implemented in R with the S4SXP type being renamed to OBJSXP. Therefore, this issue can be closed.",high,2026-08-31 16:35:02 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=18511
19085,Discarded qualifiers warning when building from source,Low-level,mvargassepulveda,TRIAGED,2026-07-14 20:03:28 +0000,Recommended closures,The discussion indicates that the issue has already been fixed in R-devel r90254 by Prof. Brian Ripley and can be closed.,high,2026-08-31 16:35:04 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=19085
10455,Bug in pacf -- Proposed patch,Analyses,jitterbug-import,TRIAGED,2026-03-06 22:48:17 +0000,Needs core developer discussion,"The issue involves a potential bug in the multivariate pacf() function where coefficients can exceed 1 in magnitude, leading to questions regarding whether it computes partial autocorrelation or autoregression matrices. Deciding how to address this requires a semantic and design decision by R Core.",high,2026-08-31 16:10:29 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=10455
17928,NextMethod does not appear to dispatch to group generic methods from specific methods.,Language,p.krivitsky,TRIAGED,2026-04-08 02:41:11 +0000,Needs core developer discussion,The discussion highlights an unresolved question regarding whether mixing individual methods and group methods in S3 group generics via NextMethod is intended behavior. Deciding the proper semantics requires a policy decision by R Core.,high,2026-08-31 16:34:59 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=17928
17702,Assignment to data.frame column (`$<-` or `[[<-`) should convert POSIXlt to POSIXct,Language,BodeEmil,TRIAGED,2026-04-13 20:43:50 +0000,Needs core developer discussion,The discussion analyzes why data.frame construction and column assignment behave differently and notes that changing this behavior would either be too disruptive or require a policy/design decision by R Core.,high,2026-08-31 16:34:58 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=17702
15715,make call() more flexible,Language,lawremi,TRIAGED,2026-04-13 22:24:02 +0000,Needs core developer discussion,"The patch proposes substantive changes to language semantics, converting call() from a SPECIAL to a BUILTIN and altering argument evaluation behavior, which requires design and compatibility evaluation by R Core.",high,2026-08-31 16:34:55 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=15715
16615,Allow multi-character separator in scan(),Wishlist,mekki,TRIAGED,2026-05-18 20:37:33 +0000,Needs core developer discussion,"The report proposes a wishlist feature for multi-character separators in scan(), but analysis shows it requires significant changes to core runtime behaviour and design decisions by R Core.",high,2026-08-31 16:34:57 UTC,gemini-3.5-flash-lite,https://bugs.r-project.org/show_bug.cgi?id=16615
