bug_id,input_hash,category,reason,confidence,model,reviewed_at
10455,a9b981efba7b4ded424d582e82e3630a,Needs core developer discussion,"The issue involves a potential bug in the multivariate pacf() function where coefficients can exceed 1 in magnitude, leading to questions regarding whether it computes partial autocorrelation or autoregression matrices. Deciding how to address this requires a semantic and design decision by R Core.",high,gemini-3.5-flash-lite,2026-08-31 16:10:29 UTC
15715,d1418349c6efc6cce6fb0c0721f24cb5,Needs core developer discussion,"The patch proposes substantive changes to language semantics, converting call() from a SPECIAL to a BUILTIN and altering argument evaluation behavior, which requires design and compatibility evaluation by R Core.",high,gemini-3.5-flash-lite,2026-08-31 16:34:55 UTC
16135,3346c371b0bb94d15509a67edecff571,Minor patches,The report provides a localized fix and updated documentation to resolve incorrect indexing behavior in stats::convolve for filter types.,high,gemini-3.5-flash-lite,2026-08-31 16:34:56 UTC
16615,3bdedb015c5cdb3089ee39c16c48530b,Needs core developer discussion,"The report proposes a wishlist feature for multi-character separators in scan(), but analysis shows it requires significant changes to core runtime behaviour and design decisions by R Core.",high,gemini-3.5-flash-lite,2026-08-31 16:34:57 UTC
17702,61e5dc240339292dddbb0aaa444c71ca,Needs core developer discussion,The discussion analyzes why data.frame construction and column assignment behave differently and notes that changing this behavior would either be too disruptive or require a policy/design decision by R Core.,high,gemini-3.5-flash-lite,2026-08-31 16:34:58 UTC
17928,2129dcf9b852361f03d35dafc27539bf,Needs core developer discussion,The discussion highlights an unresolved question regarding whether mixing individual methods and group methods in S3 group generics via NextMethod is intended behavior. Deciding the proper semantics requires a policy decision by R Core.,high,gemini-3.5-flash-lite,2026-08-31 16:34:59 UTC
18258,8a87e130d3a31f2b23e02b297e0076f0,Minor patches,The report includes a detailed patch and regression tests addressing inconsistent behavior when tracing generated functions in packages.,high,gemini-3.5-flash-lite,2026-08-31 16:35:00 UTC
18495,39c31b788cafaa72e1a8f4ee4427e1f0,Major patches,"The report proposes a substantive algorithmic and memory management change to the core function which(), accompanied by patches and performance benchmarks.",high,gemini-3.5-flash-lite,2026-08-31 16:35:01 UTC
18511,1b87f1f4c8ac2b725addd707be95bcbc,Recommended closures,"The discussion and recent updates confirm that the requested change has already been implemented in R with the S4SXP type being renamed to OBJSXP. Therefore, this issue can be closed.",high,gemini-3.5-flash-lite,2026-08-31 16:35:02 UTC
19074,87db0463c8cd13167a36757f640a9490,Minor patches,"The report includes clear patches (Option A and Option B) to address the lack of input validation in makePSOCKcluster, preventing unintended cluster creation.",high,gemini-3.5-flash-lite,2026-08-31 16:35:03 UTC
19085,d8cfb6aa25f925eb34d14213f54ca15e,Recommended closures,The discussion indicates that the issue has already been fixed in R-devel r90254 by Prof. Brian Ripley and can be closed.,high,gemini-3.5-flash-lite,2026-08-31 16:35:04 UTC
